year,price_usd_per_lb,temp_anomaly_c,production_tonnes,cpi,inflation_rate,yield_tonnes_per_hectare,real_price_2000_dollars
1973,0.6571269662921349,0.16,1557660.0,44.4,6.2,0.5170250325,2.5486
1974,0.6701623481781377,-0.07,2241120.0,49.3,11.1,0.60222501,2.3408
1975,0.6564615384615384,-0.01,1962670.0,53.8,9.1,0.5850250375,2.1012
1976,1.424938306451613,-0.1,1062062.0,56.9,5.7,0.5258250175,4.3124
1977,2.3166196787148596,0.18,1814371.0,60.6,6.5,0.6115250375000001,6.5829
1978,1.563727935222672,0.07,2178971.0,65.2,7.6,0.6087750175,4.13
1979,1.7762503968253969,0.16,2324887.0,72.6,11.3,0.597950055,4.2131
1980,1.584072908366534,0.25,2088948.0,82.4,13.5,0.6524000225,3.3104
1981,1.2237804780876493,0.32,3134609.0,90.9,10.3,0.66542501,2.3183
1982,1.3564796812749005,0.14,2018082.0,96.5,6.1,0.561500005,2.4206
1983,1.3139438735177866,0.31,2751536.0,99.6,3.2,0.639950025,2.2717
1984,1.434904365079365,0.15,2548370.0,103.9,4.3,0.603175045,2.3782
1985,1.4857923694779118,0.12,2877444.0,107.6,3.5,0.7071000000000001,2.3778
1986,1.9957796,0.18,2136728.0,109.6,1.9,0.7567000375,3.1357
1987,1.1646537848605578,0.32,3270477.0,113.6,3.7,0.79842502,1.7654
1988,1.3113952380952383,0.39,2489809.0,118.3,4.1,0.762175045,1.9089
1989,1.05737609561753,0.27,2638283.0,124.0,4.8,0.6708250474999999,1.4684
1990,0.9081968,0.45,2814623.0,130.7,5.4,0.8471500599999999,1.1966
1991,0.8577195219123506,0.4,3019427.0,136.2,4.2,0.8711250625,1.0844
1992,0.6531359683794467,0.22,2950503.0,140.3,3.0,0.910950025,0.8016
1993,0.6858498007968128,0.23,2851947.0,144.5,3.0,0.860740038,0.8173
1994,1.448419123505976,0.31,2866340.0,148.2,2.6,0.8905600400000001,1.683
1995,1.4634449799196787,0.44,2657736.0,152.4,2.8,0.9320400339999999,1.6536
1996,1.1551751004016064,0.33,3012428.0,156.9,2.9,0.9582600419999998,1.2678
1997,1.7933780876494023,0.46,2946052.0,160.5,2.3,1.01266005,1.9241
1998,1.2930384,0.61,3607791.0,163.0,1.6,1.00048005,1.366
1999,1.0416552,0.38,3473909.0,166.6,2.2,0.9862000099999999,1.0767
2000,0.9046672,0.39,4127756.0,172.2,3.4,0.9650400400000001,0.9047
2001,0.5568934426229508,0.53,4042718.0,177.1,2.8,0.9126000599999999,0.5415
2002,0.5400333333333334,0.62,4848883.0,179.9,1.6,0.9466200600000001,0.5169
2003,0.6246072289156627,0.61,4264613.0,184.0,2.3,0.8933200539999999,0.5846
2004,0.7673979919678715,0.53,4857465.0,188.9,2.7,0.983940044,0.6996
2005,1.0810844621513944,0.68,4450305.0,195.3,3.4,0.926500036,0.9532
2006,1.0847164,0.64,5207048.0,201.6,3.2,1.08276007,0.9265
2007,1.1800441767068275,0.66,5206966.0,207.3,2.9,1.13894004,0.9802
2008,1.326208695652174,0.54,5499673.0,215.3,3.8,1.102700078,1.0607
2009,1.2575853174603173,0.65,4914375.6,214.5,-0.4,1.0102600499999999,1.0096
2010,1.6416079365079366,0.72,5602990.0,218.1,1.6,1.095340032,1.2961
2011,2.533815537848606,0.61,5526456.0,224.9,3.2,1.101400076,1.9401
2012,1.7527968253968254,0.64,5900900.0,229.6,2.1,1.1213600320000001,1.3146
2013,1.2625095238095239,0.67,6012192.0,233.0,1.5,1.164440048,0.9331
2014,1.7840245059288538,0.75,6050699.0,236.7,1.6,1.1953200320000001,1.2979
2015,1.3315079365079365,0.89,6068905.2,237.0,0.1,1.221020032,0.9675
2016,1.3682531746031745,1.01,6437633.0,240.0,1.3,1.2361800779999998,0.9817
2017,1.3345563492063492,0.91,6346038.9,245.1,2.1,1.24800004,0.9376
2018,1.1360436507936509,0.85,7312493.2,251.1,2.4,1.34142003,0.7791
2019,1.01823984375,0.98,6909722.1,255.7,1.8,1.33040006,0.6857
2020,1.113770542635659,1.01,7649764.5600000005,258.8,1.2,1.399400036,0.7411
2021,1.6933208494208496,0.85,6767545.0,271.0,4.7,1.2764800619999999,1.076
2022,2.1442880308880308,0.89,7118873.9399999995,292.7,8.0,1.3540000079999999,1.2615
2023,1.7408483443708611,1.17,7304275.2,304.3,4.0,1.35252003,0.9851
