year,price_usd_per_lb,scenario,is_forecast
1973,0.6571,Historical,False
1974,0.6702,Historical,False
1975,0.6565,Historical,False
1976,1.4249,Historical,False
1977,2.3166,Historical,False
1978,1.5637,Historical,False
1979,1.7763,Historical,False
1980,1.5841,Historical,False
1981,1.2238,Historical,False
1982,1.3565,Historical,False
1983,1.3139,Historical,False
1984,1.4349,Historical,False
1985,1.4858,Historical,False
1986,1.9958,Historical,False
1987,1.1647,Historical,False
1988,1.3114,Historical,False
1989,1.0574,Historical,False
1990,0.9082,Historical,False
1991,0.8577,Historical,False
1992,0.6531,Historical,False
1993,0.6858,Historical,False
1994,1.4484,Historical,False
1995,1.4634,Historical,False
1996,1.1552,Historical,False
1997,1.7934,Historical,False
1998,1.293,Historical,False
1999,1.0417,Historical,False
2000,0.9047,Historical,False
2001,0.5569,Historical,False
2002,0.54,Historical,False
2003,0.6246,Historical,False
2004,0.7674,Historical,False
2005,1.0811,Historical,False
2006,1.0847,Historical,False
2007,1.18,Historical,False
2008,1.3262,Historical,False
2009,1.2576,Historical,False
2010,1.6416,Historical,False
2011,2.5338,Historical,False
2012,1.7528,Historical,False
2013,1.2625,Historical,False
2014,1.784,Historical,False
2015,1.3315,Historical,False
2016,1.3683,Historical,False
2017,1.3346,Historical,False
2018,1.136,Historical,False
2019,1.0182,Historical,False
2020,1.1138,Historical,False
2021,1.6933,Historical,False
2022,2.1443,Historical,False
2023,1.7408,Historical,False
2024,1.8,Optimistic,True
2025,1.9,Optimistic,True
2026,1.85,Optimistic,True
2027,1.9,Optimistic,True
2028,1.95,Optimistic,True
2029,2.0,Optimistic,True
2030,2.05,Optimistic,True
2031,2.075,Optimistic,True
2032,2.1,Optimistic,True
2033,2.1333,Optimistic,True
2034,2.1667,Optimistic,True
2035,2.2,Optimistic,True
2036,2.225,Optimistic,True
2037,2.25,Optimistic,True
2038,2.2667,Optimistic,True
2039,2.2833,Optimistic,True
2040,2.3,Optimistic,True
2024,1.9,Mid,True
2025,2.1,Mid,True
2026,2.0,Mid,True
2027,2.2,Mid,True
2028,2.4,Mid,True
2029,2.5,Mid,True
2030,2.7,Mid,True
2031,2.8,Mid,True
2032,2.9,Mid,True
2033,3.0,Mid,True
2034,3.1,Mid,True
2035,3.2,Mid,True
2036,3.35,Mid,True
2037,3.5,Mid,True
2038,3.6,Mid,True
2039,3.7,Mid,True
2040,3.8,Mid,True
2024,2.0,Pessimistic,True
2025,2.5,Pessimistic,True
2026,2.8,Pessimistic,True
2027,3.2,Pessimistic,True
2028,3.6,Pessimistic,True
2029,4.0,Pessimistic,True
2030,4.5,Pessimistic,True
2031,4.85,Pessimistic,True
2032,5.2,Pessimistic,True
2033,5.6333,Pessimistic,True
2034,6.0667,Pessimistic,True
2035,6.5,Pessimistic,True
2036,7.15,Pessimistic,True
2037,7.8,Pessimistic,True
2038,8.2,Pessimistic,True
2039,8.6,Pessimistic,True
2040,9.0,Pessimistic,True
