year,price_cents_per_lb
2000,87.68636322021484
2001,53.27000007629395
2002,52.69999961853027
2003,61.504545731977984
2004,79.64499969482422
2005,106.52727300470525
2006,108.13499908447265
2007,119.22999877929688
2008,131.76818154074928
2009,126.28888871934679
2010,166.79999889026988
2011,253.68182095614347
2012,166.10555521647134
2013,125.5099983215332
2014,180.8045460094105
2015,130.00555419921875
2016,137.61363567005503
2017,131.24000091552733
2018,111.45999908447266
2019,101.40499954223633
2020,110.61000061035156
2021,171.07272893732244
2022,212.95000110973012
2023,173.71999816894532
2024,229.56499938964845
2025,374.0
2026,313.7749938964844
