year,temp_anomaly_c,scenario,is_forecast
1973,0.16,Historical,False
1974,-0.07,Historical,False
1975,-0.01,Historical,False
1976,-0.1,Historical,False
1977,0.18,Historical,False
1978,0.07,Historical,False
1979,0.16,Historical,False
1980,0.25,Historical,False
1981,0.32,Historical,False
1982,0.14,Historical,False
1983,0.31,Historical,False
1984,0.15,Historical,False
1985,0.12,Historical,False
1986,0.18,Historical,False
1987,0.32,Historical,False
1988,0.39,Historical,False
1989,0.27,Historical,False
1990,0.45,Historical,False
1991,0.4,Historical,False
1992,0.22,Historical,False
1993,0.23,Historical,False
1994,0.31,Historical,False
1995,0.44,Historical,False
1996,0.33,Historical,False
1997,0.46,Historical,False
1998,0.61,Historical,False
1999,0.38,Historical,False
2000,0.39,Historical,False
2001,0.53,Historical,False
2002,0.62,Historical,False
2003,0.61,Historical,False
2004,0.53,Historical,False
2005,0.68,Historical,False
2006,0.64,Historical,False
2007,0.66,Historical,False
2008,0.54,Historical,False
2009,0.65,Historical,False
2010,0.72,Historical,False
2011,0.61,Historical,False
2012,0.64,Historical,False
2013,0.67,Historical,False
2014,0.75,Historical,False
2015,0.89,Historical,False
2016,1.01,Historical,False
2017,0.91,Historical,False
2018,0.85,Historical,False
2019,0.98,Historical,False
2020,1.01,Historical,False
2021,0.85,Historical,False
2022,0.89,Historical,False
2023,1.17,Historical,False
2024,1.2,Optimistic,True
2025,1.22,Optimistic,True
2026,1.23,Optimistic,True
2027,1.24,Optimistic,True
2028,1.25,Optimistic,True
2029,1.26,Optimistic,True
2030,1.27,Optimistic,True
2031,1.275,Optimistic,True
2032,1.28,Optimistic,True
2033,1.2867,Optimistic,True
2034,1.2933,Optimistic,True
2035,1.3,Optimistic,True
2036,1.31,Optimistic,True
2037,1.32,Optimistic,True
2038,1.33,Optimistic,True
2039,1.34,Optimistic,True
2040,1.35,Optimistic,True
2024,1.22,Mid,True
2025,1.25,Mid,True
2026,1.28,Mid,True
2027,1.31,Mid,True
2028,1.35,Mid,True
2029,1.38,Mid,True
2030,1.42,Mid,True
2031,1.46,Mid,True
2032,1.5,Mid,True
2033,1.54,Mid,True
2034,1.58,Mid,True
2035,1.62,Mid,True
2036,1.67,Mid,True
2037,1.72,Mid,True
2038,1.7633,Mid,True
2039,1.8067,Mid,True
2040,1.85,Mid,True
2024,1.25,Pessimistic,True
2025,1.3,Pessimistic,True
2026,1.36,Pessimistic,True
2027,1.42,Pessimistic,True
2028,1.49,Pessimistic,True
2029,1.56,Pessimistic,True
2030,1.64,Pessimistic,True
2031,1.725,Pessimistic,True
2032,1.81,Pessimistic,True
2033,1.89,Pessimistic,True
2034,1.97,Pessimistic,True
2035,2.05,Pessimistic,True
2036,2.15,Pessimistic,True
2037,2.25,Pessimistic,True
2038,2.35,Pessimistic,True
2039,2.45,Pessimistic,True
2040,2.55,Pessimistic,True
